student_id,instrument,week,item_code,response,reflection_text,ai_response,instrument,item_code,subscale,response,week
S1000,NASA_TLX,7,Q2,4.51,The task was challenging but helped me learn new strategies.,Try elaborating more on what worked and what didn’t.,MSLQ,MSLQ_SelfRegulation_7,SelfRegulation,6,2
S1001,MSLQ,3,Q1,2,The task was challenging but helped me learn new strategies.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Persistence_8,Persistence,5,5
S1002,NASA_TLX,3,Q5,3.16,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_MD_9,TLX,7,1
S1003,NASA_TLX,8,Q4,3.99,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_FR_5,TLX,7,3
S1004,MSLQ,5,Q4,2.63,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_E_5,TLX,5,5
S1005,MSLQ,4,Q3,3.53,The task was challenging but helped me learn new strategies.,Good reflection. You identified specific strategies and challenges.,SelfEfficacy,SelfEfficacy_Confidence_8,Confidence,3,5
S1006,NASA_TLX,8,Q2,2.66,The task was challenging but helped me learn new strategies.,Good reflection. You identified specific strategies and challenges.,MSLQ,MSLQ_Motivation_3,Motivation,5,2
S1007,SelfEfficacy,6,Q9,3.63,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Persistence_8,Persistence,3,4
S1008,NASA_TLX,2,Q2,3.66,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_5,CognitiveStrategy,5,1
S1009,NASA_TLX,4,Q10,4.35,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_Motivation_2,Motivation,6,1
S1010,NASA_TLX,12,Q7,3.91,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_MD_1,TLX,3,2
