event_id,timestamp,user_id,session_id,sequence_index,event_type,activity_name,page,course_id,course_name,exercise_id,resource_id,reflection_id,device,browser,os,network_type,referrer,latency_ms,error_code,success_flag,dwell_time_sec,session_duration_sec,inactivity_seconds,tab_switch_count
evt_2abe77d4f81845b7,2025-09-26T04:36:32+08:00,S1053,sess_ea6b793fd074,3,start_exercise,Start Exercise,/exercise,BSDS3003,Blockchain and FinTech Systems,EX486,,,Laptop,Safari,Windows,wifi,direct,64,,0,13.02,1328.3,89,4
evt_6c1fda7333454b6c,2025-09-30T03:38:21+08:00,S1071,sess_b60e838e368a,6,open_course,Open Course,/course/overview,BSDS3001,Data Analytics Foundations,,,,Laptop,Chrome,iOS,wifi,direct,180,ERR_TIMEOUT,0,17.8,1659.4,98,1
evt_6827d0f357184dab,2025-09-28T05:48:55+08:00,S1351,sess_bef51ce176b3,37,start_session,Start Session,/dashboard,BSDS3004,AI and Society,,,,Tablet,Chrome,Windows,4g,direct,134,ERR_VALIDATION,0,4.3,277.6,66,1
evt_ed038969007a43ec,2025-10-08T04:51:26+08:00,S1383,sess_37e9d170a329,32,start_exercise,Start Exercise,/exercise,BSDS3001,Data Analytics Foundations,EX700,,,Laptop,Chrome,Windows,wifi,direct,93,ERR_TIMEOUT,0,4.14,1350.7,16,1
evt_3cfdaadf048549b7,2025-09-25T06:32:29+08:00,S1090,sess_53226bb27562,35,write_reflection,Write Reflection,/reflection,BSDS3003,Blockchain and FinTech Systems,,,RF487,Laptop,Firefox,Windows,wifi,direct,191,ERR_500,0,0.92,651.2,68,1
evt_ace2965cc74443fd,2025-09-24T16:18:44+08:00,S1769,sess_2f2b732e60e6,2,edit_solution,Edit Solution,/exercise/edit,BSDS3004,AI and Society,EX543,,,Laptop,Chrome,Windows,wifi,direct,185,,0,9.4,578.1,90,0
evt_337fdae5b45c4225,2025-10-07T00:34:19+08:00,S1919,sess_81fea7aedaf9,26,start_session,Start Session,/dashboard,BSDS3001,Data Analytics Foundations,,,,Desktop,Chrome,Android,wifi,email,164,ERR_VALIDATION,0,21.35,1715.1,53,0
evt_e0ecf4fe018f4ff7,2025-09-30T02:26:02+08:00,S1734,sess_a5324a4791b2,4,start_exercise,Start Exercise,/exercise,BSDS3002,Machine Learning Applications,EX445,,,Tablet,Chrome,Windows,5g,lms,148,,0,21.95,508.1,129,4
evt_6aa479c77ba84577,2025-10-04T19:01:52+08:00,S1529,sess_452a8d74fc6d,28,write_reflection,Write Reflection,/reflection,BSDS3001,Data Analytics Foundations,,,RF262,Desktop,Chrome,macOS,wifi,search,166,ERR_VALIDATION,0,13.6,496.3,99,0
evt_109634f2f2124254,2025-10-08T00:42:50+08:00,S1534,sess_f1c572587da5,22,view_hint,View Hint,/exercise/hints,BSDS3003,Blockchain and FinTech Systems,,,,Laptop,Safari,Windows,4g,direct,205,,0,28.1,772.5,113,2
evt_9ee6448026b948bc,2025-09-25T00:15:27+08:00,S1270,sess_c554f9f30c87,13,start_session,Start Session,/dashboard,BSDS3004,AI and Society,,,,Tablet,Firefox,Windows,wifi,direct,152,ERR_500,0,17.05,4.8,103,0
evt_701fdadb558d40a2,2025-10-02T03:36:04+08:00,S1804,sess_1ed4d39b8ceb,17,open_course,Open Course,/course/overview,BSDS3004,AI and Society,,,,Tablet,Firefox,Linux,wifi,internal_link,136,ERR_500,0,34.67,650.8,0,1
evt_1fe11db58fc74dc0,2025-09-30T05:39:38+08:00,S1351,sess_bef51ce176b3,21,write_reflection,Write Reflection,/reflection,BSDS3001,Data Analytics Foundations,,,RF976,Laptop,Firefox,Windows,4g,search,272,,0,49.92,1111.3,33,0
evt_b6d1fe60451f4286,2025-09-29T18:08:33+08:00,S1572,sess_e03b9ad2e927,17,start_exercise,Start Exercise,/exercise,BSDS3004,AI and Society,EX762,,,Laptop,Safari,Windows,wifi,email,114,,0,32.23,1226.4,332,1
evt_b48e657e24584d98,2025-10-07T23:46:51+08:00,S1456,sess_a4d66d319770,16,open_resource,Open Resource,/resources/article,BSDS3003,Blockchain and FinTech Systems,,RES581,,Mobile,Chrome,macOS,5g,direct,219,ERR_TIMEOUT,0,21.86,552.0,61,0
evt_519d383ea3c74f7f,2025-09-30T05:34:12+08:00,S1554,sess_30d40fee5f4d,39,edit_solution,Edit Solution,/exercise/edit,BSDS3002,Machine Learning Applications,EX847,,,Mobile,Chrome,Linux,4g,lms,70,,0,12.92,72.9,14,2
evt_59c66b68ebea49dc,2025-10-06T06:15:10+08:00,S1395,sess_b6a9cb12232d,19,submit_solution,Submit Solution,/exercise/submit,BSDS3002,Machine Learning Applications,EX611,,,Desktop,Chrome,Windows,ethernet,direct,192,ERR_500,0,23.19,858.7,24,1
evt_d891988ebd644276,2025-09-27T20:43:20+08:00,S1886,sess_5d208a28b764,29,start_exercise,Start Exercise,/exercise,BSDS3004,AI and Society,EX161,,,Laptop,Safari,Linux,wifi,internal_link,81,ERR_VALIDATION,0,31.38,748.2,459,0
evt_9089fab3f9e940ad,2025-10-07T02:37:48+08:00,S1583,sess_bcb6962d4cfb,10,open_resource,Open Resource,/resources/article,BSDS3004,AI and Society,,RES142,,Laptop,Chrome,Windows,wifi,direct,206,,0,17.49,1483.1,70,0
evt_4b1bd4e9202a44da,2025-10-06T07:07:09+08:00,S1946,sess_d31424855379,19,write_reflection,Write Reflection,/reflection,BSDS3002,Machine Learning Applications,,,RF330,Mobile,Chrome,Windows,ethernet,direct,188,ERR_500,0,31.22,961.5,19,1
evt_bed6f130eb804672,2025-10-03T03:08:42+08:00,S1424,sess_c3ac36bf5f3a,36,write_reflection,Write Reflection,/reflection,BSDS3002,Machine Learning Applications,,,RF665,Desktop,Chrome,iOS,4g,direct,53,,0,22.92,1212.1,110,1
evt_551b0be331ab4d8a,2025-10-02T00:32:33+08:00,S1629,sess_22b5e7d38616,14,open_resource,Open Resource,/resources/article,BSDS3001,Data Analytics Foundations,,RES493,,Laptop,Chrome,macOS,4g,direct,243,ERR_VALIDATION,0,17.74,1048.2,85,0
evt_2eff44045bc942fd,2025-09-27T06:40:23+08:00,S1184,sess_5205b9da043e,11,open_course,Open Course,/course/overview,BSDS3004,AI and Society,,,,Tablet,Chrome,Windows,wifi,direct,288,,0,13.19,1084.9,89,0
evt_cc040217de5b48ab,2025-09-30T00:02:07+08:00,S1137,sess_19ac48779a84,16,edit_solution,Edit Solution,/exercise/edit,BSDS3001,Data Analytics Foundations,EX159,,,Desktop,Chrome,macOS,wifi,direct,193,,0,14.63,578.2,234,0
evt_c90d7225b63d4535,2025-09-26T06:25:33+08:00,S1563,sess_263e48191a77,9,edit_solution,Edit Solution,/exercise/edit,BSDS3001,Data Analytics Foundations,EX966,,,Laptop,Chrome,Linux,4g,lms,252,ERR_TIMEOUT,0,9.57,1403.6,379,1
evt_47b1466cabbb4afb,2025-10-03T20:32:35+08:00,S1426,sess_bc1af5ad64f2,23,open_course,Open Course,/course/overview,BSDS3001,Data Analytics Foundations,,,,Laptop,Chrome,Windows,wifi,direct,165,,0,14.7,964.0,76,0
evt_72640c41181a455a,2025-09-27T19:56:37+08:00,S1408,sess_baeb79285b56,31,write_reflection,Write Reflection,/reflection,BSDS3001,Data Analytics Foundations,,,RF203,Laptop,Firefox,Android,wifi,direct,161,ERR_VALIDATION,0,0.22,574.1,46,0
evt_38dea1752f914716,2025-09-28T18:08:13+08:00,S1139,sess_856322bffb3f,24,start_exercise,Start Exercise,/exercise,BSDS3001,Data Analytics Foundations,EX437,,,Desktop,Chrome,Windows,wifi,lms,56,ERR_500,0,26.31,129.1,547,0
evt_7acf356dd9364d7f,2025-10-01T19:10:20+08:00,S1293,sess_dd8a2efaa552,40,start_exercise,Start Exercise,/exercise,BSDS3003,Blockchain and FinTech Systems,EX927,,,Desktop,Firefox,Linux,4g,search,104,,0,33.93,585.0,245,0
evt_e89b12dc10bf43df,2025-10-07T05:15:26+08:00,S1427,sess_925458266bab,18,start_session,Start Session,/dashboard,BSDS3002,Machine Learning Applications,,,,Laptop,Firefox,Windows,wifi,search,233,,0,23.08,513.2,72,0
evt_75d64fabba8c4118,2025-10-08T20:29:53+08:00,S1653,sess_b91f8d9bb749,22,start_session,Start Session,/dashboard,BSDS3002,Machine Learning Applications,,,,Mobile,Safari,Windows,4g,direct,185,,0,23.54,1378.8,19,0
evt_be27e2fa57354398,2025-10-02T20:08:08+08:00,S1682,sess_b37bee3d40fc,29,start_exercise,Start Exercise,/exercise,BSDS3001,Data Analytics Foundations,EX549,,,Laptop,Chrome,macOS,4g,direct,72,ERR_500,0,24.38,841.0,221,0
evt_744cac1c1f6643a2,2025-10-05T16:23:58+08:00,S1043,sess_cd19d6d58447,10,open_course,Open Course,/course/overview,BSDS3003,Blockchain and FinTech Systems,,,,Mobile,Safari,Android,wifi,direct,169,ERR_TIMEOUT,0,6.52,772.5,84,1
evt_d82dea56bd514bc8,2025-10-05T02:16:20+08:00,S1997,sess_8a3f5dafcbb4,14,open_course,Open Course,/course/overview,BSDS3004,AI and Society,,,,Desktop,Firefox,Windows,ethernet,email,223,,0,1.27,860.3,36,1
evt_ce651a0e6970445a,2025-10-03T01:04:57+08:00,S1864,sess_a9b5b4e13803,6,start_session,Start Session,/dashboard,BSDS3002,Machine Learning Applications,,,,Mobile,Edge,Linux,ethernet,direct,190,ERR_500,0,8.73,1607.1,31,1
evt_7964751ef82e49ec,2025-09-29T04:58:44+08:00,S1030,sess_591326e045c4,19,open_resource,Open Resource,/resources/article,BSDS3003,Blockchain and FinTech Systems,,RES602,,Tablet,Firefox,Android,ethernet,internal_link,284,,0,25.66,1238.8,74,0
evt_6acfc2dac7d14b20,2025-10-06T22:52:26+08:00,S1821,sess_d9d42e1cbb13,40,start_exercise,Start Exercise,/exercise,BSDS3003,Blockchain and FinTech Systems,EX443,,,Desktop,Safari,Android,wifi,lms,187,ERR_500,0,6.16,930.8,537,3
evt_984f8d29e45b4357,2025-10-07T07:08:03+08:00,S1322,sess_39e29389637a,22,submit_solution,Submit Solution,/exercise/submit,BSDS3004,AI and Society,EX926,,,Laptop,Chrome,Windows,ethernet,direct,40,ERR_500,0,37.29,1630.8,17,0
evt_074cc63d43554cbc,2025-10-05T02:36:02+08:00,S1664,sess_45377d0b7471,36,view_hint,View Hint,/exercise/hints,BSDS3002,Machine Learning Applications,,,,Mobile,Safari,macOS,4g,direct,135,,0,8.2,546.1,81,3
evt_aa744e4bf7a04e02,2025-10-01T04:05:11+08:00,S1230,sess_b5eaa1d04d8f,26,view_analytics,View Analytics,/analytics/progress,BSDS3001,Data Analytics Foundations,,,,Laptop,Safari,Linux,ethernet,internal_link,277,ERR_TIMEOUT,0,14.31,943.8,91,1
evt_d58138167f2c48cd,2025-10-06T19:54:50+08:00,S1373,sess_4ce761cfb509,31,start_session,Start Session,/dashboard,BSDS3003,Blockchain and FinTech Systems,,,,Tablet,Firefox,macOS,ethernet,direct,241,ERR_VALIDATION,0,29.36,1118.8,107,0
evt_b2a1852bb9f240ce,2025-09-29T06:32:49+08:00,S1356,sess_33e21d41a5d4,5,submit_solution,Submit Solution,/exercise/submit,BSDS3002,Machine Learning Applications,EX287,,,Laptop,Firefox,Windows,wifi,direct,107,ERR_500,0,3.56,1199.3,8,0
evt_414b2ab81c4c4139,2025-09-30T03:37:02+08:00,S1357,sess_258ce1134647,8,view_analytics,View Analytics,/analytics/progress,BSDS3002,Machine Learning Applications,,,,Laptop,Chrome,iOS,wifi,direct,152,,0,9.24,1027.8,104,1
evt_66c5d3238d0b4460,2025-10-02T03:12:41+08:00,S1951,sess_2d34c509a267,7,open_course,Open Course,/course/overview,BSDS3004,AI and Society,,,,Mobile,Edge,Windows,4g,lms,194,,0,13.7,1192.4,23,0
evt_7348609cb3134a2b,2025-10-01T00:30:17+08:00,S1027,sess_8ba47756d209,19,edit_solution,Edit Solution,/exercise/edit,BSDS3004,AI and Society,EX671,,,Laptop,Chrome,Windows,wifi,direct,180,ERR_TIMEOUT,0,16.82,1044.0,246,3
evt_04835ce796014078,2025-10-09T04:20:27+08:00,S1226,sess_d1a389693792,31,view_analytics,View Analytics,/analytics/progress,BSDS3003,Blockchain and FinTech Systems,,,,Tablet,Chrome,Windows,4g,direct,133,ERR_VALIDATION,0,24.18,815.9,50,1
evt_c8c7484e22cc4e9a,2025-10-01T01:46:54+08:00,S1100,sess_dbb0968a438b,9,start_session,Start Session,/dashboard,BSDS3003,Blockchain and FinTech Systems,,,,Desktop,Chrome,macOS,4g,direct,95,,0,9.58,1120.2,116,1
evt_6b76aadef3ca4e96,2025-10-03T22:45:19+08:00,S1827,sess_e3099bf13362,30,open_resource,Open Resource,/resources/article,BSDS3001,Data Analytics Foundations,,RES264,,Laptop,Edge,Android,wifi,email,266,,0,40.95,742.3,53,0
evt_6b5ae3a42dfc4036,2025-10-03T19:50:07+08:00,S1465,sess_19a0dae19a6f,19,edit_solution,Edit Solution,/exercise/edit,BSDS3003,Blockchain and FinTech Systems,EX140,,,Desktop,Safari,macOS,wifi,internal_link,211,,0,32.2,1095.8,165,2
