record_id,timestamp,event_id,user_id,course_id,course_name,group,gender,ai_accuracy,tpr_gap,fpr_gap,demographic_parity_diff,equalized_odds_diff,fairness_flag,ai_tone,feedback_interpretability,sensitive_topic,comments,y_pred,y_true,y_score
fair_cefec2d847a4,2025-09-27T10:49:22+08:00,evt_9b6cca732f22,S1424,BSDS3003,Blockchain and FinTech Systems,EDU-AI+Low,M,0.75,0.102,0.114,0.046,0.108,Fair,Challenging,Opaque,No,Potential annotation bias in reflective scoring model.,1,0,0.7689053381793534
fair_c6d8788922f5,2025-10-01T13:57:22+08:00,evt_dd2839b1b57e,S1082,BSDS3001,Data Analytics Foundations,EDU-AI+Low,F,0.73,0.149,0.057,0.152,0.103,Fair,Encouraging,Opaque,No,AI feedback slightly more lenient for high-achieving students.,1,1,0.6977251558519253
fair_c75d631d6c2e,2025-10-02T03:37:22+08:00,evt_8affae23a9b1,S1957,BSDS3002,Machine Learning Applications,Control,Non-binary,0.93,0.144,0.016,0.128,0.08,Fair,Supportive,Clear,No,AI feedback slightly more lenient for high-achieving students.,1,0,0.7086936456608106
fair_5a762ad3c489,2025-10-07T14:03:22+08:00,evt_d31803b3d43b,S1524,BSDS3003,Blockchain and FinTech Systems,EDU-AI,M,0.78,0.008,0.02,0.024,0.014,Fair,Neutral,Clear,No,Detected mild performance disparity between gender groups.,0,1,0.3502156796983568
fair_10228e05dea0,2025-10-09T11:23:22+08:00,evt_f7c6002fe830,S1271,BSDS3003,Blockchain and FinTech Systems,EDU-AI+Low,F,0.7,0.14,0.028,0.136,0.084,Fair,Neutral,Partially Clear,No,Potential annotation bias in reflective scoring model.,0,0,0.2730322378071671
fair_a4e2ef7d65b1,2025-09-30T14:49:22+08:00,evt_9a96d4a8cc20,S1147,BSDS3003,Blockchain and FinTech Systems,EDU-AI+High,Non-binary,0.61,0.074,0.086,0.017,0.08,Potential Bias,Encouraging,Opaque,No,AI feedback slightly more lenient for high-achieving students.,0,0,0.15992350600121857
fair_99be63dad4f1,2025-10-03T09:11:22+08:00,evt_7b023c55a7c6,S1323,BSDS3002,Machine Learning Applications,Control,Prefer not to say,0.68,0.025,0.088,0.168,0.056,Fair,Supportive,Opaque,No,Detected mild performance disparity between gender groups.,0,1,0.3190267085726224
fair_f675f28bb834,2025-09-27T11:17:22+08:00,evt_b235e1d2e8c3,S1041,BSDS3004,AI and Society,EDU-AI+High,F,0.93,0.026,0.05,0.014,0.038,Fair,Challenging,Partially Clear,No,,0,0,0.30165442680842214
fair_d45405cc9447,2025-09-25T02:12:22+08:00,evt_958184ae5b33,S1853,BSDS3001,Data Analytics Foundations,EDU-AI+High,Non-binary,0.67,0.048,0.016,0.085,0.032,Fair,Encouraging,Opaque,No,Potential annotation bias in reflective scoring model.,0,0,0.4524499576335143
fair_598a0a4780b2,2025-10-06T08:44:22+08:00,evt_0b9053acb72f,S1314,BSDS3001,Data Analytics Foundations,EDU-AI,Non-binary,0.66,0.092,0.032,0.115,0.062,Potential Bias,Critical,Partially Clear,No,Audit required due to high demographic disparity.,1,0,0.6946177163575947
fair_13516d8bd048,2025-10-07T07:38:22+08:00,evt_93e37edef377,S1789,BSDS3001,Data Analytics Foundations,EDU-AI,Prefer not to say,0.81,0.126,0.075,0.107,0.101,Fair,Encouraging,Opaque,No,AI feedback slightly more lenient for high-achieving students.,1,1,0.8477567451126036
fair_80b0cb3c754d,2025-10-01T03:16:22+08:00,evt_3f5a7a66eac4,S1397,BSDS3004,AI and Society,EDU-AI+High,Non-binary,0.94,0.022,0.082,0.127,0.052,Fair,Encouraging,Clear,No,Equalized odds achieved within acceptable range.,1,0,0.7189443453340847
fair_334dbd3893bd,2025-10-07T01:52:22+08:00,evt_44f949dd62b7,S1286,BSDS3003,Blockchain and FinTech Systems,EDU-AI,M,0.65,0.057,0.092,0.058,0.074,Fair,Encouraging,Partially Clear,No,Audit required due to high demographic disparity.,1,0,0.7171176095942037
fair_73a30c26ad75,2025-10-08T11:26:22+08:00,evt_e1fa183cdb10,S1824,BSDS3003,Blockchain and FinTech Systems,EDU-AI+Low,Prefer not to say,0.77,0.044,0.115,0.077,0.08,Potential Bias,Encouraging,Partially Clear,Yes,Audit required due to high demographic disparity.,1,1,0.6707853244641102
fair_8c4ba2bbf3f1,2025-10-09T07:10:22+08:00,evt_140b2931bb9a,S1075,BSDS3001,Data Analytics Foundations,EDU-AI,M,0.82,0.132,0.046,0.053,0.089,Fair,Encouraging,Partially Clear,No,,1,0,0.7954958071240855
fair_6e3214971a5d,2025-09-28T11:21:22+08:00,evt_fefc0e89ea4b,S1914,BSDS3002,Machine Learning Applications,Control,Non-binary,0.7,0.064,0.027,0.13,0.045,Potential Bias,Critical,Opaque,No,Detected mild performance disparity between gender groups.,1,0,0.7400801948282612
fair_6e04d15805b8,2025-09-28T11:06:22+08:00,evt_a77e66254eac,S1318,BSDS3002,Machine Learning Applications,EDU-AI+Low,F,0.78,0.078,0.038,0.078,0.058,Fair,Neutral,Opaque,No,Audit required due to high demographic disparity.,1,0,0.8045288713964682
fair_c384ff9926e6,2025-10-04T01:18:22+08:00,evt_4201f426c86b,S1408,BSDS3004,AI and Society,EDU-AI+Low,M,0.88,0.009,0.056,0.13,0.033,Fair,Neutral,Opaque,No,Potential annotation bias in reflective scoring model.,1,0,0.6892814300129363
fair_4000a6be91f3,2025-10-06T02:58:22+08:00,evt_e7394058002c,S1463,BSDS3004,AI and Society,Control,M,0.97,0.108,0.054,0.118,0.081,Fair,Supportive,Opaque,No,Detected mild performance disparity between gender groups.,1,0,0.762682784711187
fair_d31d73d92438,2025-10-08T10:11:22+08:00,evt_d798d54b21aa,S1657,BSDS3002,Machine Learning Applications,EDU-AI+High,M,0.72,0.046,0.028,0.058,0.037,Fair,Encouraging,Clear,No,Audit required due to high demographic disparity.,1,0,0.660772595657021
fair_61c8a8df27fa,2025-10-07T13:09:22+08:00,evt_da1cc568745b,S1659,BSDS3001,Data Analytics Foundations,Control,F,0.72,0.066,0.061,0.14,0.064,Fair,Encouraging,Opaque,No,AI feedback slightly more lenient for high-achieving students.,0,1,0.1951803462554263
fair_41ef452ad83f,2025-10-07T05:50:22+08:00,evt_19be7ff38cd2,S1300,BSDS3003,Blockchain and FinTech Systems,EDU-AI,F,0.82,0.149,0.096,0.132,0.122,Potential Bias,Supportive,Partially Clear,No,Detected mild performance disparity between gender groups.,1,0,0.7688035086980686
fair_a0a56ab56eb5,2025-09-26T05:19:22+08:00,evt_b0a257565c21,S1080,BSDS3001,Data Analytics Foundations,EDU-AI,M,0.65,0.01,0.038,0.081,0.024,Fair,Supportive,Opaque,No,,1,0,0.7830571008135326
fair_3ba0f4433814,2025-10-01T00:50:22+08:00,evt_194e54fc09b4,S1758,BSDS3003,Blockchain and FinTech Systems,Control,Prefer not to say,0.66,0.123,0.043,0.094,0.083,Fair,Encouraging,Clear,No,Equalized odds achieved within acceptable range.,0,1,0.14555630828610136
fair_30918bc45bbb,2025-10-01T12:25:22+08:00,evt_67294e9e5880,S1267,BSDS3004,AI and Society,EDU-AI+Low,M,0.6,0.09,0.067,0.147,0.079,Potential Bias,Neutral,Partially Clear,No,Detected mild performance disparity between gender groups.,0,1,0.2797393200513709
fair_6cd016e397c0,2025-09-29T01:35:22+08:00,evt_848a0493141c,S1542,BSDS3001,Data Analytics Foundations,Control,Prefer not to say,0.68,0.093,0.024,0.074,0.058,Fair,Critical,Partially Clear,No,,1,1,0.8283180996144077
fair_b7b546b682ae,2025-09-25T02:38:22+08:00,evt_eb25c7944fb6,S1850,BSDS3004,AI and Society,Control,Non-binary,0.9,0.053,0.081,0.138,0.067,Fair,Critical,Clear,No,Detected mild performance disparity between gender groups.,1,0,0.9556702818342369
fair_f7711353780f,2025-09-25T04:52:22+08:00,evt_4f4695e9ce45,S1186,BSDS3003,Blockchain and FinTech Systems,EDU-AI+High,F,0.8,0.036,0.024,0.026,0.03,Fair,Supportive,Partially Clear,No,Potential annotation bias in reflective scoring model.,0,0,0.08447777532652516
fair_b26f6845ebe4,2025-09-29T01:36:22+08:00,evt_f9062d71ae5e,S1188,BSDS3001,Data Analytics Foundations,Control,M,0.92,0.002,0.097,0.173,0.05,Fair,Encouraging,Opaque,No,Audit required due to high demographic disparity.,1,0,0.5770588532845519
fair_8c7f91c207dd,2025-09-26T07:49:22+08:00,evt_0975103b43e0,S1931,BSDS3002,Machine Learning Applications,EDU-AI,F,0.83,0.074,0.024,0.041,0.049,Fair,Critical,Opaque,No,AI feedback slightly more lenient for high-achieving students.,1,1,0.599516858613568
fair_410c6fddafd8,2025-10-06T09:17:22+08:00,evt_01726f2ebd6b,S1484,BSDS3004,AI and Society,EDU-AI+Low,F,0.83,0.057,0.022,0.02,0.04,Potential Bias,Neutral,Partially Clear,No,Audit required due to high demographic disparity.,1,0,0.8341458893454
fair_db53d00c9432,2025-10-04T06:16:22+08:00,evt_e91b6944965f,S1942,BSDS3004,AI and Society,EDU-AI+Low,F,0.82,0.057,0.061,0.019,0.059,Potential Bias,Supportive,Clear,No,Detected mild performance disparity between gender groups.,0,0,0.27573294664319414
fair_6033fb50ad58,2025-10-07T04:27:22+08:00,evt_7a2331c9f396,S1500,BSDS3003,Blockchain and FinTech Systems,EDU-AI,Prefer not to say,0.76,0.046,0.008,0.12,0.027,Fair,Neutral,Clear,No,,0,1,0.14256888028922518
fair_8ac40283d21d,2025-09-27T07:10:22+08:00,evt_0d3eadb7c6d6,S1924,BSDS3003,Blockchain and FinTech Systems,EDU-AI+Low,Prefer not to say,0.67,0.048,0.109,0.094,0.079,Fair,Neutral,Opaque,No,Potential annotation bias in reflective scoring model.,1,1,0.8222430872307499
fair_14602130f3f1,2025-10-05T03:54:22+08:00,evt_b2f24d139d47,S1236,BSDS3003,Blockchain and FinTech Systems,Control,F,0.66,0.038,0.055,0.114,0.046,Fair,Neutral,Partially Clear,No,Equalized odds achieved within acceptable range.,0,1,0.3691670987018119
fair_befd48ca7a59,2025-10-07T09:25:22+08:00,evt_6051b7ca899c,S1313,BSDS3004,AI and Society,EDU-AI,F,0.84,0.15,0.025,0.022,0.087,Fair,Encouraging,Partially Clear,No,AI feedback slightly more lenient for high-achieving students.,1,1,0.778403814525037
fair_112dc3754e6b,2025-09-30T14:27:22+08:00,evt_d4d863437875,S1965,BSDS3004,AI and Society,EDU-AI+Low,M,0.91,0.051,0.076,0.043,0.064,Fair,Encouraging,Opaque,No,Potential annotation bias in reflective scoring model.,0,0,0.22533043864052696
fair_67810ab1e731,2025-10-04T13:01:22+08:00,evt_65a66caa1036,S1390,BSDS3001,Data Analytics Foundations,EDU-AI,M,0.79,0.132,0.013,0.126,0.073,Fair,Challenging,Opaque,No,Potential annotation bias in reflective scoring model.,0,0,0.05180340762039898
fair_69a8d656cc5c,2025-09-30T12:17:22+08:00,evt_15d50e55f641,S1430,BSDS3003,Blockchain and FinTech Systems,EDU-AI,Prefer not to say,0.86,0.101,0.04,0.084,0.071,Potential Bias,Critical,Partially Clear,No,Potential annotation bias in reflective scoring model.,0,0,0.322665741116515
fair_c2bc8a65ad16,2025-10-04T08:46:22+08:00,evt_dcaa4ec36303,S1865,BSDS3004,AI and Society,Control,M,0.89,0.106,0.101,0.121,0.104,Fair,Critical,Opaque,No,,0,0,0.08609710978855598
fair_b3f948672181,2025-10-09T00:54:22+08:00,evt_1751006efa30,S1525,BSDS3002,Machine Learning Applications,Control,Prefer not to say,0.87,0.066,0.108,0.081,0.087,Fair,Neutral,Clear,No,Audit required due to high demographic disparity.,0,1,0.31551365344106436
fair_e23279027ba2,2025-10-04T08:51:22+08:00,evt_8dd963d1bac1,S1392,BSDS3002,Machine Learning Applications,EDU-AI,Non-binary,0.87,0.012,0.084,0.159,0.048,Fair,Supportive,Partially Clear,No,Potential annotation bias in reflective scoring model.,0,1,0.32035932666735634
fair_6e8d79f0e1eb,2025-09-28T07:00:22+08:00,evt_52758e592f61,S1497,BSDS3001,Data Analytics Foundations,EDU-AI+High,Prefer not to say,0.75,0.036,0.031,0.006,0.034,Potential Bias,Encouraging,Opaque,Yes,Detected mild performance disparity between gender groups.,0,0,0.2567915391062849
fair_b994e32c33e7,2025-10-01T11:37:22+08:00,evt_a007ac879a1c,S1669,BSDS3003,Blockchain and FinTech Systems,Control,F,0.97,0.081,0.034,0.15,0.058,Fair,Neutral,Clear,No,AI feedback slightly more lenient for high-achieving students.,0,0,0.4053694938956116
fair_cbb3ea12049a,2025-10-08T09:53:22+08:00,evt_714731585020,S1760,BSDS3003,Blockchain and FinTech Systems,EDU-AI+Low,F,0.71,0.078,0.042,0.08,0.06,Fair,Critical,Partially Clear,No,Potential annotation bias in reflective scoring model.,0,1,0.21517276740142058
fair_dc9764b65504,2025-09-27T02:46:22+08:00,evt_909d1e2a8c2a,S1427,BSDS3001,Data Analytics Foundations,Control,F,0.77,0.142,0.022,0.047,0.082,Fair,Encouraging,Partially Clear,No,Potential annotation bias in reflective scoring model.,1,0,0.8469272201138163
fair_751347f71e45,2025-10-09T02:41:22+08:00,evt_9cf8c4f240f2,S1742,BSDS3001,Data Analytics Foundations,Control,F,0.84,0.038,0.022,0.016,0.03,Fair,Challenging,Opaque,No,Detected mild performance disparity between gender groups.,1,0,0.7264994493108174
fair_5b68649b0e21,2025-10-05T08:07:22+08:00,evt_3bbf913039c3,S1892,BSDS3002,Machine Learning Applications,Control,Prefer not to say,0.84,0.143,0.067,0.069,0.105,Fair,Critical,Opaque,No,Equalized odds achieved within acceptable range.,1,1,0.8824347019236957
fair_fdfa4d74f2e5,2025-10-07T07:27:22+08:00,evt_6b86646051de,S1432,BSDS3004,AI and Society,EDU-AI+Low,F,0.86,0.104,0.036,0.101,0.07,Fair,Neutral,Partially Clear,No,Equalized odds achieved within acceptable range.,0,0,0.2055964687567289
fair_45208b613ff8,2025-09-29T02:54:22+08:00,evt_ff1935b5e406,S1873,BSDS3001,Data Analytics Foundations,Control,M,0.91,0.093,0.054,0.073,0.073,Fair,Critical,Opaque,No,Audit required due to high demographic disparity.,1,1,0.8628523141900478
fair_f4307386ba04,2025-10-06T01:13:22+08:00,evt_fb1fb8898f13,S1036,BSDS3003,Blockchain and FinTech Systems,EDU-AI,Non-binary,0.69,0.117,0.064,0.095,0.09,Fair,Neutral,Opaque,No,AI feedback slightly more lenient for high-achieving students.,1,1,0.8534866239929538
