course_id,course_name,instructor_or_pi,question_id,topic,phase,question,option_A,option_B,option_C,option_D,answer,difficulty,discrimination,student_id,group,score
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q001,Data Structures,pre,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.56,0.94,S1000,A,42.79
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q001,Data Structures,post,What is the key role of data structures in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.65,0.63,S1000,A,61.96
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q002,Machine Learning,pre,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.22,0.88,S1001,B,40.58
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q002,Machine Learning,post,What is the key role of machine learning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.43,0.61,S1001,B,66.74
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q003,Regression Models,pre,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.58,0.91,S1002,C,72.02
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q003,Regression Models,post,What is the key role of regression models in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.67,0.61,S1002,C,74.31
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q004,Classification,pre,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.68,0.82,S1003,D,70.2
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q004,Classification,post,What is the key role of classification in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.63,0.67,S1003,D,54.52
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q005,Neural Networks,pre,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,A,0.43,0.7,S1004,A,58.23
BSDS3001,Data Analytics Foundations,PI: Shihui Feng,Q005,Neural Networks,post,What is the key role of neural networks in data analytics foundations?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,B,0.2,0.89,S1004,A,72.64
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q006,Data Cleaning,pre,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,B,0.25,0.59,S1005,B,48.19
BSDS3002,Machine Learning Applications,Co-I: Jionghao Lin,Q006,Data Cleaning,post,What is the key role of data cleaning in machine learning applications?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,C,0.64,0.56,S1005,B,59.64
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q007,Feature Engineering,pre,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,C,0.34,0.54,S1006,C,83.13
BSDS3003,Blockchain and FinTech Systems,Co-I: Kelvin Lo,Q007,Feature Engineering,post,What is the key role of feature engineering in blockchain and fintech systems?,A) Organizing and managing data effectively,B) Improving model performance and generalization,C) Ensuring ethical implementation of AI,D) Creating decentralized applications,D,0.61,0.87,S1006,C,84.77
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q008,AI Ethics,pre,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,D,0.85,0.61,S1007,D,71.4
BSDS3004,AI and Society,Instructor: Yuebo Yang,Q008,AI Ethics,post,What is the key role of ai ethics in ai and society?,A) Visualizing trends and distributions,B) Handling missing data and noise,C) Defining and invoking functions,D) Encrypting transactions and wallets,A,0.25,0.83,S1007,D,72.13
